title,latitude,longitude
680401,0,0
680402,0,0.1831502
680403,0,0.3663004
680404,0,0.5494506
680405,0,0.7326007
680406,0,0.9157509
680407,0,1.098901
680408,0,1.282051
680409,0,1.465201
680410,0,1.648352
680411,0,1.831502
680412,0,2.014652
680413,0,2.197802
680414,0,2.380952
680415,0,2.564103
680416,0,2.747253
680417,0,2.930403
680418,0,3.113553
680419,0,3.296703
680420,0,3.479854
680421,0,3.663004
680422,0,3.846154
680423,0,4.029304
680424,0,4.212454
680425,0,4.395605
680426,0,4.578755
680427,0,4.761905
680428,0,4.945055
680429,0,5.128205
680430,0,5.311356
680431,0,5.494505
680432,0,5.677656
680433,0,5.860806
680434,0,6.043956
680435,0,6.227107
680436,0,6.410256
680437,0,6.593407
680438,0,6.776557
680439,0,6.959707
680440,0,7.142857
680441,0,7.326007
680442,0,7.509158
680443,0,7.692308
680444,0,7.875458
680445,0,8.058608
680446,0,8.241758
680447,0,8.424909
680448,0,8.608059
680449,0,8.791209
680450,0,8.97436
680451,0,9.15751
680452,0,9.340659
680453,0,9.523809
680454,0,9.70696
680455,0,9.89011
680456,0,10.07326
680457,0,10.25641
680458,0,10.43956
680459,0,10.62271
680460,0,10.80586
680461,0,10.98901
680462,0,11.17216
680463,0,11.35531
680464,0,11.53846
680465,0,11.72161
680466,0,11.90476
680467,0,12.08791
680468,0,12.27106
680469,0,12.45421
680470,0,12.63736
680471,0,12.82051
680472,0,13.00366
680473,0,13.18681
680474,0,13.36996
680475,0,13.55311
680476,0,13.73626
680477,0,13.91941
680478,0,14.10256
680479,0,14.28571
680480,0,14.46886
680481,0,14.65201
680482,0,14.83517
680483,0,15.01832
680484,0,15.20147
680485,0,15.38462
680486,0,15.56777
680487,0,15.75092
680488,0,15.93407
680489,0,16.11722
680490,0,16.30037
680491,0,16.48352
680492,0,16.66667
680493,0,16.84982
680494,0,17.03297
680495,0,17.21612
680496,0,17.39927
680497,0,17.58242
680498,0,17.76557
680499,0,17.94872
680500,0,18.13187
680501,0,18.31502
680502,0,18.49817
680503,0,18.68132
680504,0,18.86447
680505,0,19.04762
680506,0,19.23077
680507,0,19.41392
680508,0,19.59707
680509,0,19.78022
680510,0,19.96337
680511,0,20.14652
680512,0,20.32967
680513,0,20.51282
680514,0,20.69597
680515,0,20.87912
680516,0,21.06227
680517,0,21.24542
680518,0,21.42857
680519,0,21.61172
680520,0,21.79487
680521,0,21.97802
680522,0,22.16117
680523,0,22.34432
680524,0,22.52747
680525,0,22.71062
680526,0,22.89377
680527,0,23.07692
680528,0,23.26007
680529,0,23.44322
680530,0,23.62637
680531,0,23.80952
680532,0,23.99267
680533,0,24.17583
680534,0,24.35897
680535,0,24.54213
680536,0,24.72528
680537,0,24.90843
680538,0,25.09158
680539,0,25.27472
680540,0,25.45788
680541,0,25.64103
680542,0,25.82418
680543,0,26.00733
680544,0,26.19048
680545,0,26.37363
680546,0,26.55678
680547,0,26.73993
680548,0,26.92308
680549,0,27.10623
680550,0,27.28938
680551,0,27.47253
680552,0,27.65568
680553,0,27.83883
680554,0,28.02198
680555,0,28.20513
680556,0,28.38828
680557,0,28.57143
680558,0,28.75458
680559,0,28.93773
680560,0,29.12088
680561,0,29.30403
680562,0,29.48718
680563,0,29.67033
680564,0,29.85348
680565,0,30.03663
680566,0,30.21978
680567,0,30.40293
680568,0,30.58608
680569,0,30.76923
680570,0,30.95238
680571,0,31.13553
680572,0,31.31868
680573,0,31.50183
680574,0,31.68498
680575,0,31.86813
680576,0,32.05128
680577,0,32.23443
680578,0,32.41758
680579,0,32.60073
680580,0,32.78388
680581,0,32.96703
680582,0,33.15018
680583,0,33.33334
680584,0,33.51648
680585,0,33.69963
680586,0,33.88279
680587,0,34.06593
680588,0,34.24908
680589,0,34.43224
680590,0,34.61539
680591,0,34.79853
680592,0,34.98169
680593,0,35.16484
680594,0,35.34798
680595,0,35.53114
680596,0,35.71429
680597,0,35.89744
680598,0,36.08059
680599,0,36.26374
680600,0,36.44689
680601,0,36.63004
680602,0,36.81319
680603,0,36.99634
680604,0,37.17949
680605,0,37.36264
680606,0,37.54579
680607,0,37.72894
680608,0,37.91209
680609,0,38.09524
680610,0,38.27839
680611,0,38.46154
680612,0,38.64469
680613,0,38.82784
680614,0,39.01099
680615,0,39.19414
680616,0,39.37729
680617,0,39.56044
680618,0,39.74359
680619,0,39.92674
680620,0,40.10989
680621,0,40.29304
680622,0,40.47619
680623,0,40.65934
680624,0,40.84249
680625,0,41.02564
680626,0,41.20879
680627,0,41.39194
680628,0,41.57509
680629,0,41.75824
680630,0,41.94139
680631,0,42.12454
680632,0,42.30769
680633,0,42.49084
680634,0,42.67399
680635,0,42.85714
680636,0,43.04029
680637,0,43.22345
680638,0,43.40659
680639,0,43.58974
680640,0,43.7729
680641,0,43.95604
680642,0,44.13919
680643,0,44.32235
680644,0,44.5055
680645,0,44.68864
680646,0,44.8718
680647,0,45.05495
680648,0,45.23809
680649,0,45.42125
680650,0,45.6044
680651,0,45.78755
680652,0,45.9707
680653,0,46.15385
680654,0,46.337
680655,0,46.52015
680656,0,46.7033
680657,0,46.88645
680658,0,47.0696
680659,0,47.25275
680660,0,47.4359
680661,0,47.61905
680662,0,47.8022
680663,0,47.98535
680664,0,48.1685
680665,0,48.35165
680666,0,48.5348
680667,0,48.71795
680668,0,48.9011
680669,0,49.08425
680670,0,49.2674
680671,0,49.45055
680672,0,49.6337
680673,0,49.81685
680674,0,50
680675,0,50.18315
680676,0,50.3663
680677,0,50.54945
680678,0,50.7326
680679,0,50.91575
680680,0,51.0989
680681,0,51.28205
680682,0,51.4652
680683,0,51.64835
680684,0,51.8315
680685,0,52.01465
680686,0,52.1978
680687,0,52.38095
680688,0,52.5641
680689,0,52.74725
680690,0,52.9304
680691,0,53.11356
680692,0,53.2967
680693,0,53.47985
680694,0,53.66301
680695,0,53.84615
680696,0,54.0293
680697,0,54.21246
680698,0,54.39561
680699,0,54.57875
680700,0,54.76191
680701,0,54.94506
680702,0,55.12821
680703,0,55.31136
680704,0,55.49451
680705,0,55.67766
680706,0,55.86081
680707,0,56.04396
680708,0,56.22711
680709,0,56.41026
680710,0,56.59341
680711,0,56.77656
680712,0,56.95971
680713,0,57.14286
680714,0,57.32601
680715,0,57.50916
680716,0,57.69231
680717,0,57.87546
680718,0,58.05861
680719,0,58.24176
680720,0,58.42491
680721,0,58.60806
680722,0,58.79121
680723,0,58.97436
680724,0,59.15751
680725,0,59.34066
680726,0,59.52381
680727,0,59.70696
680728,0,59.89011
680729,0,60.07326
680730,0,60.25641
680731,0,60.43956
680732,0,60.62271
680733,0,60.80586
680734,0,60.98901
680735,0,61.17216
680736,0,61.35531
680737,0,61.53846
680738,0,61.72161
680739,0,61.90476
680740,0,62.08791
680741,0,62.27106
680742,0,62.45421
680743,0,62.63736
680744,0,62.82051
680745,0,63.00367
680746,0,63.18681
680747,0,63.36996
680748,0,63.55312
680749,0,63.73626
680750,0,63.91941
680751,0,64.10256
680752,0,64.28571
680753,0,64.46886
680754,0,64.65202
680755,0,64.83517
680756,0,65.01832
680757,0,65.20147
680758,0,65.38461
680759,0,65.56776
680760,0,65.75092
680761,0,65.93407
680762,0,66.11722
680763,0,66.30037
680764,0,66.48352
680765,0,66.66667
680766,0,66.84982
680767,0,67.03297
680768,0,67.21612
680769,0,67.39927
680770,0,67.58242
680771,0,67.76557
680772,0,67.94872
680773,0,68.13187
680774,0,68.31502
680775,0,68.49817
680776,0,68.68132
680777,0,68.86447
680778,0,69.04762
680779,0,69.23077
680780,0,69.41392
680781,0,69.59707
680782,0,69.78022
680783,0,69.96337
680784,0,70.14652
680785,0,70.32967
680786,0,70.51283
680787,0,70.69597
680788,0,70.87912
680789,0,71.06227
680790,0,71.24542
680791,0,71.42857
680792,0,71.61172
680793,0,71.79488
680794,0,71.97803
680795,0,72.16117
680796,0,72.34432
680797,0,72.52747
680798,0,72.71062
680799,0,72.89378
680800,0,73.07693
680801,0,73.26008
680802,0,73.44322
680803,0,73.62637
680804,0,73.80952
680805,0,73.99268
680806,0,74.17583
680807,0,74.35898
680808,0,74.54213
680809,0,74.72527
680810,0,74.90842
680811,0,75.09158
680812,0,75.27473
680813,0,75.45788
680814,0,75.64103
680815,0,75.82418
680816,0,76.00732
680817,0,76.19048
680818,0,76.37363
680819,0,76.55678
680820,0,76.73993
680821,0,76.92308
680822,0,77.10623
680823,0,77.28938
680824,0,77.47253
680825,0,77.65568
680826,0,77.83883
680827,0,78.02198
680828,0,78.20513
680829,0,78.38828
680830,0,78.57143
680831,0,78.75458
680832,0,78.93773
680833,0,79.12088
680834,0,79.30403
680835,0,79.48718
680836,0,79.67033
680837,0,79.85349
680838,0,80.03663
680839,0,80.21978
680840,0,80.40293
680841,0,80.58608
680842,0,80.76923
680843,0,80.95238
680844,0,81.13554
680845,0,81.31868
680846,0,81.50183
680847,0,81.68498
680848,0,81.86813
680849,0,82.05128
680850,0,82.23444
680851,0,82.41759
680852,0,82.60073
680853,0,82.78388
680854,0,82.96703
680855,0,83.15018
680856,0,83.33334
680857,0,83.51649
680858,0,83.69964
680859,0,83.88278
680860,0,84.06593
680861,0,84.24908
680862,0,84.43224
680863,0,84.61539
680864,0,84.79854
680865,0,84.98169
680866,0,85.16484
680867,0,85.34798
680868,0,85.53114
680869,0,85.71429
680870,0,85.89744
680871,0,86.08059
680872,0,86.26374
680873,0,86.44689
680874,0,86.63004
680875,0,86.81319
680876,0,86.99634
680877,0,87.17949
680878,0,87.36264
680879,0,87.54579
680880,0,87.72894
680881,0,87.91209
680882,0,88.09524
680883,0,88.27839
680884,0,88.46154
680885,0,88.64469
680886,0,88.82784
680887,0,89.01099
680888,0,89.19414
680889,0,89.37729
680890,0,89.56044
680891,0,89.74359
680892,0,89.92674
680893,0,90.10989
680894,0,90.29305
680895,0,90.47619
680896,0,90.65934
680897,0,90.84249
680898,0,91.02564
680899,0,91.20879
680900,0,91.39194
680901,0,91.5751
680902,0,91.75825
680903,0,91.94139
680904,0,92.12454
680905,0,92.30769
680906,0,92.49084
680907,0,92.674
680908,0,92.85715
680909,0,93.0403
680910,0,93.22344
680911,0,93.40659
680912,0,93.58974
680913,0,93.7729
680914,0,93.95605
680915,0,94.1392
680916,0,94.32235
680917,0,94.50549
680918,0,94.68864
680919,0,94.8718
680920,0,95.05495
680921,0,95.2381
680922,0,95.42125
680923,0,95.6044
680924,0,95.78754
680925,0,95.9707
680926,0,96.15385
680927,0,96.337
680928,0,96.52015
680929,0,96.7033
680930,0,96.88645
680931,0,97.0696
680932,0,97.25275
680933,0,97.4359
680934,0,97.61905
680935,0,97.8022
680936,0,97.98535
680937,0,98.1685
680938,0,98.35165
680939,0,98.5348
680940,0,98.71795
680941,0,98.9011
680942,0,99.08425
680943,0,99.2674
680944,0,99.45055
680945,0,99.63371
680946,0,99.81685
680947,0,100
680948,0,100.1832
680949,0,100.3663
680950,0,100.5495
680951,0,100.7326
680952,0,100.9158
680953,0,101.0989
680954,0,101.2821
680955,0,101.4652
680956,0,101.6484
680957,0,101.8315
680958,0,102.0147
680959,0,102.1978
680960,0,102.381
680961,0,102.5641
680962,0,102.7473
680963,0,102.9304
680964,0,103.1136
680965,0,103.2967
680966,0,103.4799
680967,0,103.663
680968,0,103.8462
680969,0,104.0293
680970,0,104.2125
680971,0,104.3956
680972,0,104.5788
680973,0,104.7619
680974,0,104.9451
680975,0,105.1282
680976,0,105.3114
680977,0,105.4945
680978,0,105.6777
680979,0,105.8608
680980,0,106.044
680981,0,106.2271
680982,0,106.4103
680983,0,106.5934
680984,0,106.7766
680985,0,106.9597
680986,0,107.1429
680987,0,107.326
680988,0,107.5092
680989,0,107.6923
680990,0,107.8755
680991,0,108.0586
680992,0,108.2418
680993,0,108.4249
680994,0,108.6081
680995,0,108.7912
680996,0,108.9744
680997,0,109.1575
680998,0,109.3407
680999,0,109.5238
681000,0,109.707
681001,0,109.8901
681002,0,110.0733
681003,0,110.2564
681004,0,110.4396
681005,0,110.6227
681006,0,110.8059
681007,0,110.989
681008,0,111.1722
681009,0,111.3553
681010,0,111.5385
681011,0,111.7216
681012,0,111.9048
681013,0,112.0879
681014,0,112.2711
681015,0,112.4542
681016,0,112.6374
681017,0,112.8205
681018,0,113.0037
681019,0,113.1868
681020,0,113.37
681021,0,113.5531
681022,0,113.7363
681023,0,113.9194
681024,0,114.1026
681025,0,114.2857
681026,0,114.4689
681027,0,114.652
681028,0,114.8352
681029,0,115.0183
681030,0,115.2015
681031,0,115.3846
681032,0,115.5678
681033,0,115.7509
681034,0,115.9341
681035,0,116.1172
681036,0,116.3004
681037,0,116.4835
681038,0,116.6667
681039,0,116.8498
681040,0,117.033
681041,0,117.2161
681042,0,117.3993
681043,0,117.5824
681044,0,117.7656
681045,0,117.9487
681046,0,118.1319
681047,0,118.315
681048,0,118.4982
681049,0,118.6813
681050,0,118.8645
681051,0,119.0476
681052,0,119.2308
681053,0,119.4139
681054,0,119.5971
681055,0,119.7802
681056,0,119.9634
681057,0,120.1465
681058,0,120.3297
681059,0,120.5128
681060,0,120.696
681061,0,120.8791
681062,0,121.0623
681063,0,121.2454
681064,0,121.4286
681065,0,121.6117
681066,0,121.7949
681067,0,121.978
681068,0,122.1612
681069,0,122.3443
681070,0,122.5275
681071,0,122.7106
681072,0,122.8938
681073,0,123.0769
681074,0,123.2601
681075,0,123.4432
681076,0,123.6264
681077,0,123.8095
681078,0,123.9927
681079,0,124.1758
681080,0,124.359
681081,0,124.5421
681082,0,124.7253
681083,0,124.9084
681084,0,125.0916
681085,0,125.2747
681086,0,125.4579
681087,0,125.641
681088,0,125.8242
681089,0,126.0073
681090,0,126.1905
681091,0,126.3736
681092,0,126.5568
681093,0,126.7399
681094,0,126.9231
681095,0,127.1062
681096,0,127.2894
681097,0,127.4725
681098,0,127.6557
681099,0,127.8388
681100,0,128.022
681101,0,128.2051
681102,0,128.3883
681103,0,128.5714
681104,0,128.7546
681105,0,128.9377
681106,0,129.1209
681107,0,129.304
681108,0,129.4872
681109,0,129.6703
681110,0,129.8535
681111,0,130.0366
681112,0,130.2198
681113,0,130.4029
681114,0,130.5861
681115,0,130.7692
681116,0,130.9524
681117,0,131.1355
681118,0,131.3187
681119,0,131.5018
681120,0,131.685
681121,0,131.8681
681122,0,132.0513
681123,0,132.2344
681124,0,132.4176
681125,0,132.6007
681126,0,132.7839
681127,0,132.967
681128,0,133.1502
681129,0,133.3333
681130,0,133.5165
681131,0,133.6996
681132,0,133.8828
681133,0,134.0659
681134,0,134.2491
681135,0,134.4322
681136,0,134.6154
681137,0,134.7985
681138,0,134.9817
681139,0,135.1648
681140,0,135.348
681141,0,135.5311
681142,0,135.7143
681143,0,135.8974
681144,0,136.0806
681145,0,136.2637
681146,0,136.4469
681147,0,136.63
681148,0,136.8132
681149,0,136.9963
681150,0,137.1795
681151,0,137.3626
681152,0,137.5458
681153,0,137.7289
681154,0,137.9121
681155,0,138.0952
681156,0,138.2784
681157,0,138.4615
681158,0,138.6447
681159,0,138.8278
681160,0,139.011
681161,0,139.1941
681162,0,139.3773
681163,0,139.5604
681164,0,139.7436
681165,0,139.9267
681166,0,140.1099
681167,0,140.293
681168,0,140.4762
681169,0,140.6593
681170,0,140.8425
681171,0,141.0257
681172,0,141.2088
681173,0,141.3919
681174,0,141.5751
681175,0,141.7582
681176,0,141.9414
681177,0,142.1245
681178,0,142.3077
681179,0,142.4908
681180,0,142.674
681181,0,142.8571
681182,0,143.0403
681183,0,143.2234
681184,0,143.4066
681185,0,143.5898
681186,0,143.7729
681187,0,143.9561
681188,0,144.1392
681189,0,144.3223
681190,0,144.5055
681191,0,144.6886
681192,0,144.8718
681193,0,145.0549
681194,0,145.2381
681195,0,145.4212
681196,0,145.6044
681197,0,145.7876
681198,0,145.9707
681199,0,146.1539
681200,0,146.337
681201,0,146.5202
681202,0,146.7033
681203,0,146.8864
681204,0,147.0696
681205,0,147.2527
681206,0,147.4359
681207,0,147.619
681208,0,147.8022
681209,0,147.9854
681210,0,148.1685
681211,0,148.3517
681212,0,148.5348
681213,0,148.718
681214,0,148.9011
681215,0,149.0843
681216,0,149.2674
681217,0,149.4505
681218,0,149.6337
681219,0,149.8168
681220,0,150
681221,0,150.1832
681222,0,150.3663
681223,0,150.5495
681224,0,150.7326
681225,0,150.9158
681226,0,151.0989
681227,0,151.2821
681228,0,151.4652
681229,0,151.6484
681230,0,151.8315
681231,0,152.0146
681232,0,152.1978
681233,0,152.381
681234,0,152.5641
681235,0,152.7473
681236,0,152.9304
681237,0,153.1136
681238,0,153.2967
681239,0,153.4799
681240,0,153.663
681241,0,153.8462
681242,0,154.0293
681243,0,154.2125
681244,0,154.3956
681245,0,154.5788
681246,0,154.7619
681247,0,154.9451
681248,0,155.1282
681249,0,155.3114
681250,0,155.4945
681251,0,155.6777
681252,0,155.8608
681253,0,156.044
681254,0,156.2271
681255,0,156.4103
681256,0,156.5934
681257,0,156.7766
681258,0,156.9597
681259,0,157.1429
681260,0,157.326
681261,0,157.5092
681262,0,157.6923
681263,0,157.8755
681264,0,158.0586
681265,0,158.2418
681266,0,158.4249
681267,0,158.6081
681268,0,158.7912
681269,0,158.9744
681270,0,159.1575
681271,0,159.3407
681272,0,159.5238
681273,0,159.707
681274,0,159.8901
681275,0,160.0733
681276,0,160.2564
681277,0,160.4396
681278,0,160.6227
681279,0,160.8059
681280,0,160.989
681281,0,161.1722
681282,0,161.3553
681283,0,161.5385
681284,0,161.7216
681285,0,161.9048
681286,0,162.0879
681287,0,162.2711
681288,0,162.4542
681289,0,162.6374
681290,0,162.8205
681291,0,163.0037
681292,0,163.1868
681293,0,163.37
681294,0,163.5531
681295,0,163.7363
681296,0,163.9194
681297,0,164.1026
681298,0,164.2857
681299,0,164.4689
681300,0,164.652
681301,0,164.8352
681302,0,165.0183
681303,0,165.2015
681304,0,165.3846
681305,0,165.5678
681306,0,165.7509
681307,0,165.9341
681308,0,166.1172
681309,0,166.3004
681310,0,166.4835
681311,0,166.6667
681312,0,166.8498
681313,0,167.033
681314,0,167.2161
681315,0,167.3993
681316,0,167.5824
681317,0,167.7656
681318,0,167.9487
681319,0,168.1319
681320,0,168.315
681321,0,168.4982
681322,0,168.6813
681323,0,168.8645
681324,0,169.0476
681325,0,169.2308
681326,0,169.4139
681327,0,169.5971
681328,0,169.7802
681329,0,169.9634
681330,0,170.1465
681331,0,170.3297
681332,0,170.5128
681333,0,170.696
681334,0,170.8791
681335,0,171.0623
681336,0,171.2454
681337,0,171.4286
681338,0,171.6117
681339,0,171.7949
681340,0,171.978
681341,0,172.1612
681342,0,172.3443
681343,0,172.5275
681344,0,172.7106
681345,0,172.8938
681346,0,173.0769
681347,0,173.2601
681348,0,173.4432
681349,0,173.6264
681350,0,173.8095
681351,0,173.9927
681352,0,174.1758
681353,0,174.359
681354,0,174.5421
681355,0,174.7253
681356,0,174.9084
681357,0,175.0916
681358,0,175.2747
681359,0,175.4579
681360,0,175.641
681361,0,175.8242
681362,0,176.0073
681363,0,176.1905
681364,0,176.3736
681365,0,176.5568
681366,0,176.7399
681367,0,176.9231
681368,0,177.1062
681369,0,177.2894
681370,0,177.4725
681371,0,177.6557
681372,0,177.8388
681373,0,178.022
681374,0,178.2051
681375,0,178.3883
681376,0,178.5714
681377,0,178.7546
681378,0,178.9377
681379,0,179.1209
681380,0,179.304
681381,0,179.4872
681382,0,179.6703
681383,0,179.8535
681384,0,180.0366
681385,0,180.2198
681386,0,180.4029
681387,0,180.5861
681388,0,180.7692
681389,0,180.9524
681390,0,181.1355
681391,0,181.3187
681392,0,181.5018
681393,0,181.685
681394,0,181.8681
681395,0,182.0513
681396,0,182.2344
681397,0,182.4176
681398,0,182.6007
681399,0,182.7839
681400,0,182.967

